user_id_A,user_id_B,score
1,51,5
1,75,4
1,79,5
1,34,1
1,59,1
1,63,1
2,99,4
2,20,4
2,23,5
2,83,1
2,19,2
2,84,2
3,77,4
3,96,4
3,42,4
3,90,1
3,24,1
3,99,1
4,74,5
4,35,4
4,6,4
4,65,1
4,69,2
4,2,1
5,34,4
5,9,4
5,63,4
5,68,1
5,12,1
5,17,2
6,42,5
6,57,5
6,10,4
6,90,1
6,99,2
6,91,1
7,63,4
7,34,4
7,98,4
7,96,1
7,9,1
7,65,1
8,12,4
8,46,4
8,61,5
8,92,2
8,26,2
8,49,2
9,79,4
9,6,5
9,12,4
9,84,1
9,45,1
9,53,1
10,26,5
10,83,4
10,20,4
10,97,2
10,79,1
10,4,1
11,80,5
11,71,4
11,1,4
11,39,1
11,4,1
11,44,1
12,71,4
12,57,5
12,78,4
12,61,2
12,92,2
12,87,2
13,18,4
13,11,5
13,3,5
13,88,2
13,58,1
13,84,2
14,71,5
14,98,5
14,26,4
14,85,2
14,57,1
14,59,2
15,69,4
15,83,4
15,86,5
15,42,2
15,54,2
15,13,2
16,24,4
16,81,5
16,5,4
16,10,2
16,88,1
16,21,1
17,77,5
17,58,4
17,15,5
17,33,1
17,97,1
17,51,1
18,5,4
18,51,4
18,71,4
18,82,1
18,88,1
18,33,2
19,73,5
19,85,4
19,39,5
19,5,2
19,94,2
19,32,2
20,64,5
20,13,4
20,45,4
20,85,2
20,14,1
20,53,1
21,41,5
21,70,4
21,31,5
21,8,2
21,63,1
21,25,1
22,73,5
22,82,4
22,42,5
22,7,2
22,6,2
22,1,1
23,8,5
23,36,5
23,62,5
23,2,2
23,81,1
23,91,1
24,55,5
24,30,4
24,1,5
24,7,2
24,32,1
24,26,2
25,52,5
25,2,4
25,15,4
25,22,2
25,12,2
25,17,2
26,25,5
26,8,4
26,44,4
26,22,2
26,42,2
26,90,1
27,49,4
27,78,4
27,64,4
27,39,1
27,84,1
27,23,1
28,20,5
28,16,5
28,100,4
28,61,1
28,63,1
28,78,2
29,89,5
29,46,4
29,97,5
29,73,2
29,47,2
29,27,2
30,69,4
30,72,4
30,77,4
30,53,2
30,48,2
30,12,2
31,62,5
31,76,4
31,40,4
31,56,2
31,84,1
31,68,1
32,25,4
32,29,4
32,57,4
32,60,2
32,58,2
32,53,2
33,5,5
33,100,5
33,88,5
33,90,2
33,69,1
33,73,2
34,44,5
34,75,5
34,95,5
34,88,1
34,23,2
34,73,1
35,45,5
35,47,5
35,48,5
35,82,1
35,89,1
35,36,2
36,6,5
36,50,4
36,56,4
36,78,1
36,57,2
36,40,1
37,8,4
37,76,5
37,25,5
37,35,2
37,11,1
37,64,2
38,41,5
38,8,4
38,19,4
38,95,1
38,18,1
38,59,1
39,50,4
39,11,4
39,100,5
39,8,1
39,99,1
39,96,2
40,81,4
40,77,5
40,86,4
40,2,2
40,52,2
40,100,2
41,60,5
41,37,4
41,38,4
41,33,2
41,73,2
41,23,1
42,10,4
42,1,4
42,60,4
42,26,1
42,32,1
42,78,1
43,65,4
43,36,5
43,39,5
43,97,1
43,12,2
43,4,2
44,79,5
44,68,4
44,20,5
44,81,1
44,83,1
44,73,2
45,50,5
45,59,4
45,77,4
45,62,2
45,94,2
45,11,1
