ID,예민함정도,의견수용,말수,시간약속,리더십,체력,청결민감도,여행일정강도,국내or해외,산or바다,계획or즉흥,랜드마크,코골이,웨이팅,여행희망지역,싫어하는기후,여행목적,숙소유형,기상시간,여행예산,Summary,Profile,Rec_People,Rec_Travel
1,보통,매우 수용적,많다,자주 늦음,따르는 편,4,꽤 민감,매우 여유있게,해외,산,즉흥 여행,무조건 다 봄,코골이 함,기다림,"세계일주,유럽,국내","더움,추움,건조함","액티비티,기록,미식","게스트하우스,펜션,4-5성급호텔",오전 9-10시,200-300만원,"저는 여행 중에 너무 더운 날씨나 추운 날씨로 인해 불편함을 겪었던 경험이 최악으로 남아 있습니다. 그래서 이번 여행에서는 편안한 신발을 꼭 준비하고 싶습니다. 함께 여행을 가고 싶은 동반자는 의견이 잘 맞고, 계속해서 다양한 이야기들을 나눌 수 있는 사람입니다. 이번 여행에서 가장 기대하는 것은 새로운 음식 문화를 경험하고, 이를 통해 미식의 즐거움을 기록으로 남기는 것입니다. 마지막으로, 이번 여행이 제 삶에 더욱 다양한 경험을 선사하는 의미 있는 시간이 되길 바랍니다.","이 사용자는 세계일주 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 미식이며, 펜션에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
2,둔감,다소 완고,매우 적다,매우 정확,따르는 편,5,둔감,꽤 여유있게,해외,바다,계획 여행,적당히 봄,코골이 안함,기다림,"미국,그 외,일본","더움,추움,상관없음","공연&경기관람,문화&역사체험,기록","3성이하 호텔,4-5성급호텔,민박",오전 9-10시,200-300만원,"저는 정해진 계획에 따라 여유롭게 미국과 일본을 여행하며 공연과 경기를 관람하고 다양한 문화와 역사를 체험하는 것을 기대하고 있습니다. 동행인은 저와 같이 의견이 맞고 계획적인 여행을 즐기는 사람이면 좋겠습니다. 여행 중 가장 싫었던 경험은 시간이 정확하게 맞지 않아 일정이 틀어졌던 일이었기에, 이번에는 시간을 철저히 지키며 알차게 여행을 즐기고 싶습니다. 이 여행을 통해 새로운 경험을 기록하고, 일상에서 벗어난 특별한 기억을 쌓아 제 삶에 활력을 불어넣기를 희망합니다. 호텔 숙박은 크게 신경 쓰지 않지만, 기본적인 편안함을 제공한다면 그것만으로도 충분하다고 생각합니다.","이 사용자는 미국 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
3,보통,매우 수용적,많다,자주 늦음,무조건 리드,5,꽤 민감,보통,국내,바다,즉흥 여행,무조건 다 봄,코골이 안함,기다림,"그 외,미국,국내","상관없음,습함,건조함","도전과성장,미식,자연감상","4-5성급호텔,콘도,3성이하 호텔",오전 10시 이후,400만원 이상,"저는 여행 중 계획이 틀어지는 것보다 청결하지 못한 환경에서의 경험이 최악이었고, 이번 여행에서는 깨끗하고 쾌적한 숙소가 꼭 필요해요. 함께 여행을 가고 싶은 사람은 다양한 의견을 수용할 수 있는 유연한 성격을 가지고 있는 사람입니다. 이번 여행에서 가장 기대하는 것은 자연을 감상하고 새로운 경험을 통해 도전과 성장을 이루는 것이며, 이러한 경험이 저의 삶에 긍정적인 변화를 가져다주기를 바랍니다. 아침 일찍 활동하는 것보다 저의 페이스대로 즉흥적으로 여행하며 휴식을 즐기고 싶습니다.","이 사용자는 미국 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 콘도에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
4,매우 둔감,다소 완고,적다,매우 정확,보통,3,꽤 민감,매우 빡빡하게,해외,산,즉흥 여행,적당히 봄,코골이 안함,다른 곳 간다,"미국,세계일주,국내","추움,상관없음,건조함","사람&관계,기록,도전과성장","상관없음,4-5성급호텔,콘도",오전 8-9시,100만원 이하,"저는 여행 중 예기치 않게 추운 날씨를 만나는 것을 최악의 경험으로 꼽습니다. 그래서 이번 여행에는 따뜻한 옷이나 준비물을 꼭 챙기고 싶습니다. 함께 여행하고 싶은 사람은 저처럼 일정을 변화 없이 소화할 수 있는 사람입니다. 이번 여행에서는 사람들과의 관계를 발전시키고 새로운 기록을 남기기를 기대하고 있습니다. 또, 이 여행이 저에게는 도전과 성장의 의미를 가진 중요한 시간이 되기를 바랍니다.","이 사용자는 세계일주 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 사람&관계이며, 상관없음에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
5,보통,매우 수용적,적다,종종 늦음,무조건 따름,2,꽤 민감,꽤 여유있게,해외,바다,즉흥 여행,적당히 봄,코골이 함,기다림,"동남아,유럽,중국&몽골","건조함,추움,쌀쌀함","자연감상,문화&역사체험,도전과성장","에어비엔비,상관없음,콘도",오전 8-9시,100만원 이하,"저는 여행 중 체력이 다소 부족해서 무리한 일정이 최악의 경험으로 남은 적이 있습니다. 그래서 이번 여행에서는 여유로운 일정과 깨끗한 숙소가 꼭 필요합니다. 같이 여행하고 싶은 사람은 서로 의견을 잘 수용하고, 리더십을 발휘하여 계획을 세워 주는 사람입니다. 이번 여행에서 가장 기대하는 것은 동남아나 유럽의 아름다운 자연과 풍부한 문화, 역사를 체험하는 것입니다. 이 여행이 저에게 도전과 성장의 기회를 제공하고, 삶에 새로운 영감을 주었으면 합니다.","이 사용자는 유럽 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 콘도에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
6,꽤 민감,다소 완고,보통,종종 늦음,리드하는편,2,매우 민감,꽤 빡빡하게,국내,바다,계획 여행,적당히 봄,코골이 함,다른 곳 간다,"중국&몽골,국내,일본","상관없음,습함,쌀쌀함","자연감상,문화&역사체험,휴식","상관없음,4-5성급호텔,게스트하우스",오전 10시 이후,400만원 이상,"저는 예전에 여행 중 코골이가 심해서 잠을 못 잔 적이 있는데, 그런 경험이 최악이었어요. 그래서 이번 여행에서는 좋은 숙소를 확보하고 싶어요. 같이 가는 사람은 시간 약속을 잘 지키고 청결을 중요하게 생각하는 사람이면 좋겠어요. 특히 이번 여행에서 자연감상을 통해 스트레스를 풀고, 중국이나 몽골의 문화와 역사를 체험하는 것을 매우 기대하고 있습니다. 이 여행은 저에게 일상의 휴식을 제공하고 삶에 새로운 영감을 줄 수 있는 기회라 생각해요. 400만원 이상의 예산으로 계획한 만큼, 만족스러운 여행을 기대하고 있습니다.","이 사용자는 중국&몽골 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
7,보통,매우 수용적,많다,자주 늦음,무조건 리드,5,매우 둔감,꽤 빡빡하게,국내,바다,즉흥 여행,무조건 다 봄,코골이 함,다른 곳 간다,"동남아,국내,세계일주","쌀쌀함,건조함,상관없음","공연&경기관람,미식,기록","민박,펜션,4-5성급호텔",오전 10시 이후,200-300만원,"저는 공연과 경기를 즐기기 위해 국내 여행을 특히 선호하고, 아침에 일찍 일어나지 않는 편입니다. 여행에서 최악의 경험은 낯선 환경에서의 불편함이나 예상치 못한 쌀쌀한 기후뿐인데, 크게 신경 쓰지 않으려고 합니다. 이번 여행에서 가장 중요하게 여기는 것은 기록을 남기는 것이고, 저의 즉흥적인 여행 스타일에 맞춰주는 수용적인 사람과 동행하고 싶습니다. 동남아나 국내의 다양한 시각과 맛을 즐기고 싶고, 이번 여행을 통해 삶에 새로운 영감을 얻거나 소중한 기억을 쌓고 싶습니다. 조금 늦더라도 그 과정에서 즐거움을 잃지 않는 것이 목표입니다.","이 사용자는 국내 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 공연&경기관람이며, 민박에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
8,꽤 민감,보통,매우 적다,꽤 정확,무조건 따름,4,꽤 민감,매우 여유있게,해외,산,계획 여행,적당히 봄,코골이 함,기다림,"미국,세계일주,동남아","습함,더움,건조함","사람&관계,미식,공연&경기관람","상관없음,4-5성급호텔,에어비엔비",오전 10시 이후,200-300만원,"여행 중 가장 최악의 경험은 덥고 습한 기후로 인해 불쾌한 기억이 남는 경우입니다. 그래서 이번 여행에서는 쾌적한 기후가 가장 중요하며, 인상 깊은 미식 경험이 특히 기대됩니다. 함께 여행하고 싶은 사람은 주어진 계획을 잘 따르며 조용한 시간을 공유할 수 있는 사람이 좋습니다. 또한, 여행을 통해 현지인들과의 다양한 교류와 관계를 쌓고 싶고, 이것이 삶에 신선한 자극과 새로운 시야를 제공했으면 합니다. 이번 여행은 긴장감 없이 여유롭게 즐기면서도 미국의 다양한 공연이나 경기를 관람하며 충만한 시간을 보내고 싶습니다.","이 사용자는 미국 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 미식이며, 에어비엔비에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
9,매우 둔감,보통,많다,종종 늦음,무조건 리드,5,매우 둔감,매우 여유있게,국내,바다,계획 여행,적당히 봄,코골이 함,다른 곳 간다,"국내,동남아,일본","건조함,습함,더움","액티비티,도전과성장,쇼핑","펜션,상관없음,에어비엔비",오전 9-10시,200-300만원,"저는 여행 중 최악의 경험으로 더운 기후에서의 불쾌함을 꼽을 수 있습니다. 그래서 이번 여행에서는 기온이 쾌적한 곳을 찾는 것을 중요시하며, 일본을 여행지로 선택했습니다. 함께 여행하고 싶은 사람은 대화를 많이 나눌 수 있고, 계획된 일정에 유동적으로 적응할 수 있는 이들이면 좋겠어요. 이번 여행에서는 쇼핑을 가장 기대하며, 이를 통해 새로운 경험을 쌓고 개인적인 성장을 이루고 싶습니다. 또한, 여행이 일상에서 벗어나 도전과 창의력을 증대시키는 소중한 경험이 되길 바랍니다.","이 사용자는 일본 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 펜션에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
10,보통,다소 완고,매우 많다,꽤 정확,무조건 리드,5,보통,매우 빡빡하게,국내,바다,계획 여행,무조건 다 봄,코골이 함,기다림,"중국&몽골,유럽,국내","건조함,더움,추움","기록,문화&역사체험,도전과성장","게스트하우스,콘도,상관없음",오전 9-10시,200-300만원,"여행 중 최악의 경험으로는 기후가 극단적으로 추웠던 상황을 떠올릴 수 있을 것 같아요; 저는 추운 날씨를 싫어하거든요. 이번 여행에서는 정확한 일정 관리가 빡빡하게 짜여 있는 것이 필요해요. 함께 여행하기 좋은 사람이라면 계획에 철저히 맞춰주고 대화가 많은 저와 끝없이 의견을 주고받을 수 있는 사람이면 좋겠어요. 이번 여행에서 가장 기대하는 것은 다양한 문화와 역사적인 체험을 통해 도전과 성장을 경험하는 것이에요. 여행이 저의 삶에 기록으로 남고, 새로운 문화적 통찰을 얻으며, 개인적인 발전의 기회가 되길 기대합니다.","이 사용자는 국내 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 콘도에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
